"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIGAS","BE","05-Nov-2018","        210.95","         72.00","         75.60","         72.00","         75.60","         75.60","         74.99","    1636701","           122729359.60","       1882","-","-"
"ADANIGAS","BE","06-Nov-2018","         75.60","         77.00","         79.35","         75.70","         78.45","         78.10","         78.05","    2528961","           197393653.30","       9884","-","-"
"ADANIGAS","BE","07-Nov-2018","         78.10","         79.40","         82.00","         78.50","         82.00","         81.30","         80.62","     488994","            39421079.00","       2778","-","-"
"ADANIGAS","BE","09-Nov-2018","         81.30","         84.00","         84.00","         77.25","         80.00","         79.95","         78.48","    1926334","           151175106.90","      10797","-","-"
"ADANIGAS","BE","12-Nov-2018","         79.95","         79.80","         79.80","         76.00","         76.00","         76.00","         76.51","    1494059","           114317329.05","       9859","-","-"
"ADANIGAS","BE","13-Nov-2018","         76.00","         72.50","         78.00","         72.50","         77.20","         76.95","         74.60","     915107","            68266679.40","       5791","-","-"
"ADANIGAS","BE","14-Nov-2018","         76.95","         77.05","         78.65","         75.50","         78.30","         78.30","         77.68","     640666","            49769978.15","       3780","-","-"
"ADANIGAS","BE","15-Nov-2018","         78.30","         79.00","         80.00","         75.50","         79.60","         79.40","         78.93","     662627","            52302817.50","       4634","-","-"
"ADANIGAS","BE","16-Nov-2018","         79.40","         79.40","         79.75","         77.50","         79.00","         78.85","         78.75","     445033","            35048347.60","       3866","-","-"
"ADANIGAS","BE","19-Nov-2018","         78.85","         78.45","         78.95","         77.20","         77.75","         77.80","         77.84","    1332624","           103731954.15","       4254","-","-"
"ADANIGAS","EQ","20-Nov-2018","         77.80","         81.00","         88.50","         80.10","         81.70","         80.90","         84.13","    3819027","           321301715.40","      34652","    1658744","         43.43"
"ADANIGAS","EQ","21-Nov-2018","         80.90","         81.90","         97.05","         81.70","         97.05","         97.05","         92.40","    7785820","           719371266.95","      46424","    1800748","         23.13"
"ADANIGAS","EQ","22-Nov-2018","         97.05","        106.55","        115.40","        105.00","        110.85","        111.55","        110.88","   17594459","          1950801226.65","     110939","    2716428","         15.44"
"ADANIGAS","EQ","26-Nov-2018","        111.55","        114.10","        114.70","        102.00","        102.90","        104.10","        106.23","    7818868","           830570645.45","      51150","    2218601","         28.37"
"ADANIGAS","EQ","27-Nov-2018","        104.10","        100.50","        105.25","         98.25","        100.60","        101.05","        101.94","    4647882","           473801462.80","      30527","    1519373","         32.69"
"ADANIGAS","EQ","28-Nov-2018","        101.05","        101.45","        102.60","         94.10","         98.50","         99.00","         99.37","    4517227","           448891912.90","      30954","    1469506","         32.53"
"ADANIGAS","EQ","29-Nov-2018","         99.00","         99.90","        101.70","         98.10","         99.00","         99.45","         99.75","    2006532","           200150175.05","      15978","     885840","         44.15"
"ADANIGAS","EQ","30-Nov-2018","         99.45","         99.10","        101.40","         97.65","         98.70","         98.75","         99.33","    1745738","           173397289.35","      11046","     750996","         43.02"
"ADANIGAS","EQ","03-Dec-2018","         98.75","         99.00","         99.75","         96.30","         97.30","         97.50","         97.44","    1065560","           103831084.70","       7332","     520509","         48.85"
"ADANIGAS","EQ","04-Dec-2018","         97.50","         97.50","         97.85","         95.20","         96.10","         96.20","         96.23","    1044937","           100558123.60","       7173","     593119","         56.76"
"ADANIGAS","EQ","05-Dec-2018","         96.20","         95.15","        105.80","         94.20","        105.80","        105.35","        104.09","    6794511","           707219865.95","      39506","    1604206","         23.61"
"ADANIGAS","EQ","06-Dec-2018","        105.35","        103.95","        110.70","        103.15","        103.50","        104.30","        106.64","    4175920","           445324282.50","      27122","    1024353","         24.53"
"ADANIGAS","EQ","07-Dec-2018","        104.30","        105.00","        108.50","         99.25","         99.70","        100.15","        102.36","    1674014","           171348326.75","      18612","     648341","         38.73"
"ADANIGAS","EQ","10-Dec-2018","        100.15","         95.10","         98.00","         94.00","         95.00","         94.85","         95.47","     965256","            92149340.20","       8932","     424474","         43.98"
"ADANIGAS","EQ","11-Dec-2018","         94.85","         91.00","         98.70","         91.00","         96.50","         96.15","         95.99","    1521664","           146065090.65","      13961","     367164","         24.13"
"ADANIGAS","EQ","12-Dec-2018","         96.15","         97.70","        101.95","         97.50","         97.90","         98.05","         99.44","    1142024","           113567873.60","       9909","     468763","         41.05"
"ADANIGAS","EQ","13-Dec-2018","         98.05","         99.60","        101.90","         98.50","         99.45","         98.95","         99.79","     966517","            96445509.35","       7437","     299972","         31.04"
"ADANIGAS","EQ","14-Dec-2018","         98.95","         99.75","        100.80","         98.10","         98.60","         98.85","         99.14","     513487","            50908963.35","       4016","     235189","         45.80"
"ADANIGAS","EQ","17-Dec-2018","         98.85","         99.55","        100.80","         98.75","         99.70","         99.70","         99.52","     584085","            58128119.80","       3976","     222396","         38.08"
"ADANIGAS","EQ","18-Dec-2018","         99.70","         99.10","        108.40","         98.40","        106.55","        106.25","        105.10","    3127798","           328743388.65","      22919","     820985","         26.25"
"ADANIGAS","EQ","19-Dec-2018","        106.25","        108.45","        108.45","        102.55","        102.90","        103.00","        105.04","    1107432","           116326842.40","       8897","     528610","         47.73"
"ADANIGAS","EQ","20-Dec-2018","        103.00","        102.05","        104.75","        101.55","        103.00","        102.80","        103.30","     657144","            67879835.90","       4936","     189824","         28.89"
"ADANIGAS","EQ","21-Dec-2018","        102.80","        103.65","        103.90","         99.40","         99.70","         99.65","        100.89","     763820","            77059361.90","       6043","     426761","         55.87"
"ADANIGAS","EQ","24-Dec-2018","         99.65","        100.70","        101.15","         98.05","         98.40","         98.30","         99.47","     415118","            41293431.10","       3726","     183863","         44.29"
