"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ALBK","EQ","12-Oct-2017","         65.45","         65.60","         66.30","         64.45","         65.80","         66.10","         65.45","    1611083","           105439552.60","       6195","     220019","         13.66"
"ALBK","EQ","13-Oct-2017","         66.10","         66.20","         67.35","         65.50","         66.30","         66.30","         66.55","    1930242","           128448009.95","       8077","     289692","         15.01"
"ALBK","EQ","16-Oct-2017","         66.30","         66.55","         66.75","         65.40","         66.10","         66.10","         66.07","    1392652","            92010082.10","       3974","     161525","         11.60"
"ALBK","EQ","17-Oct-2017","         66.10","         66.10","         67.15","         66.00","         66.35","         66.35","         66.51","    1580632","           105124205.65","       5589","     160839","         10.18"
"ALBK","EQ","18-Oct-2017","         66.35","         66.00","         66.75","         65.60","         65.85","         65.90","         66.19","    1377359","            91162690.50","       4547","     214884","         15.60"
"ALBK","EQ","19-Oct-2017","         65.90","         65.60","         65.80","         64.85","         65.00","         65.10","         65.31","     383251","            25029429.45","       1719","     150292","         39.22"
"ALBK","EQ","23-Oct-2017","         65.10","         65.30","         65.90","         64.70","         65.75","         65.70","         65.33","    1475140","            96375121.50","       5171","     207804","         14.09"
"ALBK","EQ","24-Oct-2017","         65.70","         65.80","         69.15","         65.80","         68.50","         68.60","         67.84","    3858014","           261723400.10","      13471","     703898","         18.25"
"ALBK","EQ","25-Oct-2017","         68.60","         75.45","         85.40","         74.80","         83.95","         84.15","         80.47","   25237405","          2030929251.10","      83611","    4578551","         18.14"
"ALBK","EQ","26-Oct-2017","         84.15","         84.95","         89.00","         82.10","         84.15","         84.60","         85.16","   13527756","          1152036472.85","      43780","    2745830","         20.30"
"ALBK","EQ","27-Oct-2017","         84.60","         84.35","         84.35","         77.20","         78.00","         77.70","         80.25","    6512803","           522620781.30","      24778","    1203719","         18.48"
"ALBK","EQ","30-Oct-2017","         77.70","         78.00","         81.35","         77.30","         80.75","         80.60","         80.28","    5861118","           470503949.80","      22175","     979324","         16.71"
"ALBK","EQ","31-Oct-2017","         80.60","         80.70","         80.85","         77.75","         78.45","         78.40","         79.01","    2873568","           227054060.70","      13830","     370824","         12.90"
"ALBK","EQ","01-Nov-2017","         78.40","         79.70","         85.90","         79.70","         83.15","         83.00","         83.57","   10856437","           907253585.15","      35649","    1118093","         10.30"
"ALBK","EQ","02-Nov-2017","         83.00","         83.50","         83.65","         81.20","         81.35","         81.50","         82.15","    3705925","           304425605.65","      16017","     384001","         10.36"
"ALBK","EQ","03-Nov-2017","         81.50","         81.80","         82.70","         80.35","         81.70","         82.00","         81.64","    4270668","           348644241.65","      15051","     399770","          9.36"
"ALBK","EQ","06-Nov-2017","         82.00","         82.00","         83.90","         81.25","         82.85","         82.90","         82.99","    3690662","           306302598.95","      15497","     714494","         19.36"
"ALBK","EQ","07-Nov-2017","         82.90","         83.05","         83.65","         79.00","         79.45","         79.60","         80.55","    3302716","           266045829.30","      15014","     592266","         17.93"
"ALBK","EQ","08-Nov-2017","         79.60","         79.30","         80.75","         76.60","         78.15","         77.75","         78.85","    4312033","           339989459.85","      18172","     648548","         15.04"
"ALBK","EQ","09-Nov-2017","         77.75","         78.20","         79.80","         77.00","         78.80","         78.65","         78.31","    3636575","           284770428.25","      17666","     409316","         11.26"
"ALBK","EQ","10-Nov-2017","         78.65","         78.60","         81.40","         77.80","         79.90","         79.85","         79.47","    5860468","           465760583.10","      26094","     523091","          8.93"
"ALBK","EQ","13-Nov-2017","         79.85","         79.90","         80.95","         77.00","         77.35","         77.50","         79.42","    5917993","           470011148.65","      23503","     430129","          7.27"
"ALBK","EQ","14-Nov-2017","         77.50","         77.75","         78.40","         76.60","         77.00","         76.85","         77.35","    3408099","           263633415.95","      16625","     235969","          6.92"
"ALBK","EQ","15-Nov-2017","         76.85","         76.85","         77.80","         74.05","         75.45","         74.95","         76.10","    3256201","           247793874.40","      16468","     472776","         14.52"
"ALBK","EQ","16-Nov-2017","         74.95","         75.45","         79.40","         74.55","         79.25","         78.80","         76.62","    3730956","           285861359.80","      17064","     490957","         13.16"
"ALBK","EQ","17-Nov-2017","         78.80","         80.10","         82.00","         78.75","         79.25","         79.35","         80.54","    5222820","           420619878.05","      23960","     582228","         11.15"
"ALBK","EQ","20-Nov-2017","         79.35","         79.35","         79.75","         78.00","         79.65","         79.25","         78.80","    1811967","           142786233.30","       7790","     189898","         10.48"
"ALBK","EQ","21-Nov-2017","         79.25","         79.70","         80.50","         77.10","         77.75","         78.00","         78.63","    3069483","           241349927.15","      22358","     813732","         26.51"
"ALBK","EQ","22-Nov-2017","         78.00","         78.70","         78.95","         76.15","         78.10","         78.10","         77.64","    2904137","           225488777.70","      14424","     379027","         13.05"
"ALBK","EQ","23-Nov-2017","         78.10","         78.20","         78.85","         76.35","         78.20","         78.25","         77.73","    2845653","           221182791.75","      12760","     273135","          9.60"
"ALBK","EQ","24-Nov-2017","         78.25","         78.55","         79.65","         77.80","         78.45","         78.65","         78.69","    3443066","           270924205.65","      15449","     258258","          7.50"
"ALBK","EQ","27-Nov-2017","         78.65","         77.85","         78.95","         77.35","         78.60","         78.60","         78.19","    1733163","           135522219.95","       8416","     172795","          9.97"
"ALBK","EQ","28-Nov-2017","         78.60","         78.90","         78.95","         77.85","         78.00","         78.25","         78.43","    1704017","           133643929.70","       6303","     183323","         10.76"
"ALBK","EQ","29-Nov-2017","         78.25","         78.20","         78.70","         77.10","         77.10","         77.40","         77.90","    1271310","            99035623.20","       6588","     208799","         16.42"
"ALBK","EQ","30-Nov-2017","         77.40","         76.90","         77.35","         76.05","         76.80","         76.55","         76.82","    2792035","           214480838.40","      17157","     475815","         17.04"
"ALBK","EQ","01-Dec-2017","         76.55","         77.25","         77.70","         74.30","         74.80","         74.60","         76.26","    2087279","           159179427.10","      10885","     345597","         16.56"
"ALBK","EQ","04-Dec-2017","         74.60","         75.10","         75.25","         73.95","         74.70","         74.60","         74.62","    1679430","           125318187.55","       8579","     158701","          9.45"
"ALBK","EQ","05-Dec-2017","         74.60","         74.40","         75.15","         73.20","         74.85","         74.85","         74.29","    1918816","           142554972.65","       8861","     160995","          8.39"
"ALBK","EQ","06-Dec-2017","         74.85","         74.60","         75.40","         73.75","         73.80","         73.95","         74.37","    2411525","           179342325.50","      10677","     145419","          6.03"
"ALBK","EQ","07-Dec-2017","         73.95","         74.00","         74.90","         73.65","         74.50","         74.55","         74.53","    1716801","           127959845.70","       5366","     151657","          8.83"
