"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJ-AUTO","EQ","12-Oct-2017","       3143.90","       3169.95","       3173.50","       3117.00","       3155.00","       3155.90","       3143.36","     311670","           979692172.25","      18275","     177261","         56.87"
"BAJAJ-AUTO","EQ","13-Oct-2017","       3155.90","       3164.00","       3180.00","       3136.00","       3150.00","       3160.85","       3159.02","     255125","           805944382.45","      19781","     113866","         44.63"
"BAJAJ-AUTO","EQ","16-Oct-2017","       3160.85","       3175.00","       3239.00","       3170.10","       3237.75","       3224.80","       3206.87","     255885","           820590365.20","      19009","      90071","         35.20"
"BAJAJ-AUTO","EQ","17-Oct-2017","       3224.80","       3235.00","       3315.00","       3218.65","       3255.10","       3259.95","       3271.17","     920067","          3009697805.45","      46953","      99091","         10.77"
"BAJAJ-AUTO","EQ","18-Oct-2017","       3259.95","       3249.95","       3265.00","       3208.20","       3225.00","       3226.80","       3239.33","     288969","           936066281.85","      13871","     115000","         39.80"
"BAJAJ-AUTO","EQ","19-Oct-2017","       3226.80","       3231.90","       3240.65","       3198.10","       3204.00","       3217.95","       3222.90","      60297","           194331176.25","       3175","      27654","         45.86"
"BAJAJ-AUTO","EQ","23-Oct-2017","       3217.95","       3192.00","       3229.00","       3158.00","       3210.00","       3217.65","       3184.04","     300953","           958246645.75","      18413","     119963","         39.86"
"BAJAJ-AUTO","EQ","24-Oct-2017","       3217.65","       3210.55","       3229.00","       3195.25","       3201.10","       3210.05","       3212.18","     166189","           533828213.00","      15623","      77881","         46.86"
"BAJAJ-AUTO","EQ","25-Oct-2017","       3210.05","       3264.00","       3264.00","       3219.55","       3240.00","       3232.25","       3232.49","     123563","           399416432.50","      11179","      52587","         42.56"
"BAJAJ-AUTO","EQ","26-Oct-2017","       3232.25","       3233.90","       3295.00","       3211.75","       3294.80","       3283.40","       3263.64","     185904","           606723512.65","      15270","     101999","         54.87"
"BAJAJ-AUTO","EQ","27-Oct-2017","       3283.40","       3300.00","       3344.90","       3275.70","       3309.70","       3300.15","       3317.62","     277293","           919953312.10","      26178","     113844","         41.06"
